"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","104","1","1","176.231934","0","1828"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","21","30","3","2","47.831215","0","154"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","4.823765","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","1","1","5.560183","0","13"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","2","1","4.070785","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","2.324750","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","2.615123","0","3"
"/OculusXR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","1.863304","0","3"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","24","34","1","1","46.159603","0","628"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","24","44","1","1","52.983521","0","1008"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","24","34","1","1","43.770546","0","596"
"/OculusXR/Materials/PokeAHoleInverseMaterial.PokeAHoleInverseMaterial","24","2","2","1","2.121266","0","3"
"/OculusXR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","2","2","1","2.081015","0","3"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","1.977934","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","30","1","1","42.183388","0","494"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","1","1","20.815136","0","134"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","2.094085","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","2.172174","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","1","1","3.014405","0","13"
"/Game/Materials/M_Table.M_Table","24","15","1","1","19.497555","0","134"
"/Game/Materials/M_Puck.M_Puck","24","15","1","1","19.701492","0","129"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","24","2","2","1","2.350692","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","24","75","1","1","119.630417","0","1005"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","24","75","2","1","111.061691","0","1370"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","1","1","38.987934","0","274"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","1.931119","0","3"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","75","1","1","91.370918","0","1121"
"/OculusXR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","24","15","1","1","19.015741","0","96"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","2","2","1","1.958812","0","3"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","4","1","1","3.900748","0","13"
"/ControlRig/M_Manip.M_Manip","24","4","1","1","3.860506","0","13"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","39","7","2","46.011005","0","331"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","2.222284","0","3"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","24","2","2","1","2.165888","0","3"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","24","44","1","1","54.327991","0","543"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","1","1","13.869926","0","55"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","8","1","1","7.060593","0","34"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","1","1","104.169495","0","1415"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","240","1","1","372.190460","0","7578"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","762","1","1","1009.714600","0","51624"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","22","1","1","26.982084","0","190"
"/OpenXR/Devices/M_XRController.M_XRController","24","45","3","3","64.280731","0","317"
"/OculusXR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","2","2","1","2.338722","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","28","9","6","24.895725","0","109"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","2","2","1","2.406746","0","3"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","2","2","1","2.152284","0","3"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","2.036186","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","2.463953","0","3"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","44","1","1","66.402328","0","556"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","104","1","1","175.190018","0","2011"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","24","30","10","2","47.832741","0","120"
